,author,num_citations,surname
155,sr frey,523,frey
166,w rodney,472,rodney
83,i reed,446,reed
46,d acemoglu,327,acemoglu
93,ja robinson,327,robinson
163,v golding,187,golding
118,m pierre,172,pierre
34,c hodeir,172,hodeir
99,k howard,105,howard
165,w klooster,78,klooster
4,a gallay,77,gallay
144,re howard-hassmann,73,howard-hassmann
14,a walker,73,walker
114,m hall,62,hall
157,t jenkins,61,jenkins
29,b savoy,55,savoy
70,f sarr,55,sarr
96,jm mackenzie,52,mackenzie
21,as thompson,52,thompson
37,c rassool,35,rassool
72,g minkley,35,minkley
110,l witz,35,witz
132,p brown,30,brown
51,d forde,30,forde
159,t ojaide,30,ojaide
136,r armstrong,30,armstrong
135,r aldrich,29,aldrich
90,j van beurden,27,van beurden
79,h solomon,26,solomon
82,i liebenberg,26,liebenberg
122,me snodgrass,23,snodgrass
59,e edwards,21,edwards
9,a robinson,20,robinson
58,e coffield,20,coffield
141,r mason,20,mason
71,f shyllon,19,shyllon
68,f bodenstein,18,bodenstein
148,s lunden,16,lunden
36,c pagani,16,pagani
170,z liu,14,liu
156,t hunt,14,hunt
52,d hicks,13,hicks
84,i vivan,9,vivan
116,m masurovsky,9,masurovsky
44,ca dixon,9,dixon
26,b gaudenzi,9,gaudenzi
13,a swenson,9,swenson
54,d newall,9,newall
74,g pooke,9,pooke
145,rf sumner,8,sumner
121,mc gonzalez-prats,8,gonzalez-prats
25,b forclaz,8,forclaz
75,g robertson,8,robertson
47,d apostolos-cappadona,8,apostolos-cappadona
76,gla harris,8,harris
120,ma drumbl,8,drumbl
107,l forster,7,forster
42,c vincent,7,vincent
23,b dupaigne,7,dupaigne
10,a shelton,6,shelton
17,af roberts,6,roberts
109,l li,5,li
77,h deblock,5,deblock
65,eh matthes,5,matthes
92,ja onimhawo,5,onimhawo
86,j nevadomsky,5,nevadomsky
160,t thiemeyer,5,thiemeyer
20,alb sargent,5,sargent
153,so idahosa,5,idahosa
119,m smart,4,smart
104,l bakare,4,bakare
133,p howlett-martin,4,howlett-martin
108,l la follette,4,la follette
89,j shakeshaft,3,shakeshaft
125,n brodie,3,brodie
100,k lagat,3,lagat
117,m murphy,3,murphy
6,a lagamma,3,lagamma
169,y biro,3,biro
142,r skeates,3,skeates
3,a feldman,3,feldman
111,m banton,3,banton
112,m bouffioux,3,bouffioux
113,m cisse,3,cisse
87,j pellew,3,pellew
151,sb diagne,3,diagne
55,dc conrad,3,conrad
81,hs jones,3,jones
48,d cannadine,3,cannadine
80,h zhong,3,zhong
38,c renfrew,3,renfrew
30,b tillier,3,tillier
28,b pavelin lesic,2,pavelin lesic
127,n greani,2,greani
69,f greenland,2,greenland
152,sh dudley,2,dudley
5,a hammond,2,hammond
49,d damic-bohac,2,damic-bohac
43,c wingfield,2,wingfield
168,wh oliver,2,oliver
103,k smith,2,smith
35,c ndubuisi,2,ndubuisi
143,r van wyk,2,van wyk
12,a stonehouse,2,stonehouse
98,k hausler,2,hausler
97,jw monroe,2,monroe
164,v konig,2,konig
140,r mackenzie-gray scott,2,mackenzie-gray scott
91,j zetterstrom-sharp,2,zetterstrom-sharp
60,e libonati,2,libonati
33,c ginzburg,2,ginzburg
88,j rieucau,2,rieucau
27,b l'estoile,2,l'estoile
131,p brock,1,brock
134,p wood,1,wood
147,s conn,1,conn
137,r berangere,1,berangere
138,r habermas,1,habermas
139,r hourcade,1,hourcade
146,ro maledo,1,maledo
129,om osiki,1,osiki
149,s van beurden,1,van beurden
150,s wang,1,wang
154,so ogbechie,1,ogbechie
158,t lachenal,1,lachenal
161,uu okonkwo,1,okonkwo
162,v cedric,1,cedric
167,w thebele,1,thebele
130,p basil,1,basil
0,a adebajo,1,adebajo
128,n nielsen,1,nielsen
24,b falcucci,1,falcucci
53,d malaquais,1,malaquais
50,d de girolamo,1,de girolamo
45,ci njoku,1,njoku
41,c spring,1,spring
40,c snyder,1,snyder
39,c scott,1,scott
32,c esche,1,esche
31,c buta,1,buta
22,b devillers,1,devillers
126,n chavoz,1,chavoz
19,al conklin,1,conklin
18,al araujo,1,araujo
16,ac unegbu,1,unegbu
15,a weigand,1,weigand
11,a sofroniou,1,sofroniou
8,a pawłowska,1,pawłowska
7,a lester,1,lester
2,a erlich,1,erlich
56,df jung,1,jung
57,dy ho,1,ho
61,e manikowska,1,manikowska
62,e ogboh,1,ogboh
124,mz opubor,1,opubor
123,mp bueno,1,bueno
115,m kadar,1,kadar
106,l chabal,1,chabal
105,l bouby,1,bouby
102,k sieg,1,sieg
101,k pinther,1,pinther
95,jd long,1,long
94,jb arnold,1,arnold
1,a conradie,1,conradie
85,j gasco,1,gasco
78,h geismar,1,geismar
73,g papadopoulos,1,papadopoulos
67,eo emama,1,emama
66,em spiers,1,spiers
64,ec ejiogu,1,ejiogu
63,e pearson,1,pearson
171,zs strother,1,strother
